row_index,title,cleaned_text,skills_technical,skills_soft,skills_tool,skills_domain,skills_certification,all_skills,skill_count
1296,Accounts Receivable Specialist,accounts receivable specialist turnkey lender help customers grow lending business using easy use saas platform empower companies increase financial inclusion make credit available ordinary people bus,SaaS,,,,,SaaS,1
1297,Accounts Receivable Specialist,accounts receivable specialist essential duties responsibilities : process accounts receivable matching payments invoices resolving discrepancies review credit card paypal transactions daily basis ens,,,,,,,0
1298,Accounts Receivable Specialist,accounts receivable specialist responsibilities issue invoices credit notes customers accordance billing plans proof read invoices accordance relevant checklist prepare responses client queries questi,,,,,,,0
1299,Accounts Receivable Specialist,accounts receivable specialist full service custom software delivery partner headquartered chicago years worked engineering departments business leaders technology providers chicago area work partners,,,,custom software delivery,,custom software delivery,1
1300,Accounts Receivable Specialist (Junior),accounts receivable specialist junior intellias global technology partner enabling change transformation across industries generating long lasting value businesses people wider world responsibilities ,,,,,,,0
1301,Account Support Specialist,account support specialist client top notch logistics provider based silicon valley california provides supply chain optimization solution used fortune companies helping reduce costs increase operatio,,,,supply chain optimization,,supply chain optimization,1
1302,Account to the COO,account coo offer : working unique company interesting tasks team high professionals working hours : mon fri flexible schedule working client time zone friendly staff ability grow different directions,,,,,,,0
1303,Account & ΙΤ Project Managers,account project managers responsibilities operating lead point contact matters specific customers overseeing customer account management including bidding offering negotiating new project awards chang,,,,account management; bid management,,account management; bid management,2
1304,Accountаnt / Finance manager,account nt finance manager requirements : working experience finance accounting position least years ifrs standards principles knowing understanding working experience foreign companies non residents ,,,,IFRS,,IFRS,1
1305,Account Мanager,account anager according preferences working one ukrainian cities kiev odessa product company designing product main business experts field working six years choose candidates thoroughly surrounded st,,,,,,,0
1306,A Copywriter for a new Corporate Marketing Website,copywriter new corporate marketing website responsibilities : work information projects client sites writing articles website content work closely marketing management present description project work,,writing,,marketing,,marketing; writing,2
1307,A copywriter to create copy for Youtube and podcast descriptions and social media posts,copywriter create copy youtube podcast descriptions social media posts along receive brand voice guidelines help understand kind copy looking looking copywriter recurring weekly tasks take hours week ,,writing,,social media,,social media; writing,2
1308,Acountant,acountant company : international technological techiia holding founded end today unites business projects products holding used countries team experts world techiia included list top companies best c,,,,accounting,,accounting,1
1309,Acoustic ML engineer,acoustic ml engineer driven agile team member engineer works manner independent proactive identifying opportunities exploiting large already existent database health sounds iterating rapidly mvp proto,agile; machine learning,,,,,agile; machine learning,2
1310,Acquiring BizDev (Payments),acquiring bizdev payments currently socialtech eight projects millions users around world strong team professionals deep expertise ambitious goals aimed growing business looking active thoughtful prof,,,,bizdev; payments; socialtech,,bizdev; payments; socialtech,3
1311,Acquisition Manager (Media Buyer for US market),acquisition manager media buyer us market looking acquisition manager advanced english level work us market mgid founded one leading companies native advertising enable media partners monetize audienc,,english,,,,english,1
1312,Acquisition Manager Mobile SaaS App,acquisition manager mobile saas app challenges meet : full cycle mobile traffic advertising campaigns management : launching optimization scaling experimenting creatives designers : b testing performa,,launching; optimization; scaling,,mobile traffic advertising; campaign management,,mobile traffic advertising; campaign management; launching; optimization; scaling,5
1313,Acquisition Marketing Manager,acquisition marketing manager : red_exclamation_mark : billion people asia access mainstream financial services time incredible amount valuable digital footprint mobile devices online presence social ,,,,acquisition marketing; financial services,,acquisition marketing; financial services,2
1314,Acquisition Marketing Manager (New B2C Product),acquisition marketing manager new bc product looking looking experienced marketing manager proven track record least one paid marketing channel facebook google ads preferable happy take board someone ,,,facebook,marketing; paid marketing,,marketing; paid marketing; facebook,3
1315,Acquisition / PPC Manager for the US-based Product Company,acquisition ppc manager us based product company company nimbus web one solution information collaboration company based usa team works remotely different parts world keeping inspiring friendly atmosp,,,,,,,0
1316,Acquisition Team Lead,acquisition team lead requirements : years work experience team lead digital marketing sphere confirmed certain results extensive experience bc must working knowledge acquisition retention directions ,,,,digital marketing,,digital marketing,1
1317,Active Directory Administrator,active directory administrator relocation gda sk looking active directory administrator work one world 's leading service companies providing high quality related services global companies tech sector,Active Directory,,,,,Active Directory,1
1318,Active Directory Expert,active directory expert looking active directory expert work different projects german company remote full time long term working schedule : kyiv time requirements : years professional experience exte,Active Directory,,,,,Active Directory,1
1319,Active Directory Security Expert,active directory security expert joidy looking active directory security expert join team responsibilities : revised active directory security improvement plan feasibility implementation plan local un,Active Directory,,,Active Directory security,,Active Directory; Active Directory security,2
1320,Active Sales Agent,active sales agent ready best boost succeed new profession boosta ready support providing flexible schedule training workshops professional teammates salary allow grow learn without thinking financial,,training; team management,,sales,,sales; training; team management,3
1321,Activities manager,activities manager epc network international company years background head office san diego california miami florida krakow kyiv huge expertise fields : digital marketing email marketing media buying ,,project management,,international business,,project management; international business,2
1322,Activities Manager / Event Manager,activities manager event manager need : need find diamond : gem_stone : activities manager hiring person super important us need employee want hire team family member succeed role need friendly approa,,team management,,event management,,event management; team management,2
1323,A customer support manager for a web service,customer support manager web service duties include : answering questions service 's purpose works email live chat assisting initial account setup able determine issues user accounts fix resolve issue,,,email management; live chat,customer support,,customer support; email management; live chat,3
1324,ADAS Engineer,adas engineer job description : years experience c years solid experience adas systems development understanding automotive regular pipeline years experience automotive sensor fusion projects iso skil,ADAS systems development; C,,,automotive engineering,,ADAS systems development; automotive engineering; C,3
1325,ADAS Functional Safety Engineer,adas functional safety engineer luxoft building new special purpose organization targeted developing vehicle infotainment systems age autonomously driving vehicles people cars spend time interact info,,,,adas; vehicle infotainment systems,,adas; vehicle infotainment systems,2
1326,Ada SPARK developer IRC182031,ada spark developer irc description : zenseact purpose make safe intelligent mobility real everyone everywhere develop complete software stack adas ad sensing actuation focus build single cutting edge,ada; spark,,,adas,,ada; spark; adas,3
1327,ADAS R+D Expert,adas r expert conduct depth research analysis adas propose suitable adas development roadmap strategy vinfast car model act contact point product strategy adas development team : co ordinate cross fun,r,,,adas,,r; adas,2
1328,ADAS Sensor Fusion engineer,adas sensor fusion engineer job description years c development skills math linear algebra statistics years experience automotive sensor fusion projects iso advanced level english plus skills high loa,c; linear algebra; statistics; sensor fusion,,,adas,,c; linear algebra; statistics; adas; sensor fusion,5
1329,ADAS Sensor Fusion Engineer IRC138856,adas sensor fusion engineer irc description : due new porject starting inviting experienced researchers developers team proposing highly competitive offering opportunities professional growth power go,sensor fusion,,,adas,,adas; sensor fusion,2
1330,ADAS System Engineer (IRC146790),adas system engineer irc hiring experts automotive adas projects particular looking system engineers customer whose product portfolio ranges electronic hydraulic brake chassis control systems sensors ,,,,ADAS,,ADAS,1
1331,ADAS System Engineer Middle or Senior,adas system engineer middle senior location : poland type cooperation : uop capgemini engineering provides premium software engineering services leading technology companies customers usually range st,,,,ADAS,,ADAS,1
1332,ADAS Test Engineer - Vehicle (Germany),adas test engineer vehicle germany dxc luxoft industry leading software integrator solution house automotive oems suppliers millions cars road today solutions designed dxc luxoft project description :,,,,ADAS,,ADAS,1
1333,Ad Campaign Manager,ad campaign manager job overview : seeking experienced facebook ad google ad campaign manager proven track record building successful ad campaigns ideal candidate least five years experience managing ,,,Facebook Ad; Google Ad,,,Facebook Ad; Google Ad,2
1334,Ad Campaign Manager (Marketing Specialist),ad campaign manager marketing specialist responsibilities : develop execute facebook google ad campaigns align company 's goals objectives continuously monitor analyze ad campaign performance making d,,,Facebook Ad; Google Ad,,,Facebook Ad; Google Ad,2
1335,Ad Campaigns Marketing Manager,ad campaigns marketing manager requirements experience working web analytics services using google analytics gtm etc analytical skills data driven thinking excellent english level experience managing ,,,Google Analytics; GTM,Web analytics,,Google Analytics; GTM; Web analytics,3
1336,Ad Conversion Attribution Expert,ad conversion attribution expert redtrack io industry leading ad tracking conversion attribution platform media buyers redtrack io digital marketers media buyers get real time data alerts automation m,,,Redtrack.io,Ad tracking; Conversion attribution,,Redtrack.io; Ad tracking; Conversion attribution,3
1337,Ad Creative Designer,ad creative designer growth shop building world sophisticated rapid growth organisation unbelievably passionate motivated team pursuit mastering art scaling exceptionally successful businesses whether,,Team management; Leadership,,,,Team management; Leadership,2
1338,ADF Developer,adf developer diceus software development company specializes delivering high quality software solutions clients worldwide team dedicated creating innovative reliable software products meet needs clie,ADF,,,Software development,,ADF; Software development,2
1339,ADF Oracle/ JAX REST developer,adf oracle jax rest developer project company group leading provider software solutions insurance companies worldwide provides next generation core insurance platform using end end flexible cloud serv,ADF; Oracle; JAX-RS; REST,,,,,ADF; Oracle; JAX-RS; REST,4
1340,Ad-hoc Copywriter required for IT company,ad hoc copywriter required company trinetix seeking copywriter ad hoc content creator passionate creating top quality content informs inspires encourages audience role includes writing high volume int,,,,content creation,,content creation,1
1341,Ad manager (Campaign manager),ad manager campaign manager minimum years experience ads campaign manager similar occupation main emphasis sea social ads good knowledge ad analytics tools google ads google analytics facebook ads man,ad analytics,,,campaign management,,ad analytics; campaign management,2
1342,Admin,admin geotech geotech company develops integration tools new technologies gaming platforms unreal engine goal help companies developers create amazing experiences push gaming digital interaction next ,,,Unreal Engine,gaming platforms,,Unreal Engine; gaming platforms,2
1343,Admin Coordinator,admin coordinator responsibilities : prepare provide presentation coordinate work doctors train stakeholders work platform organize requests refinements platform work technical director control implem,,presentation; stakeholder management,,,,presentation; stakeholder management,2
1344,Administer,administer need administrative assistant strong english c advanced supports top managers performing various tasks ensure positive productive interaction organization others location kyiv office addres,english; C,,,,,english; C,2
1345,Administration and Support Hexagon PDS3D Specialist,administration support hexagon pdsd specialist tasks : assisting transition new environment aveva ed support administration project tasks models pdsd software maintenance pdsd environment installation,PDS,,Aveva,,,Aveva; PDS,2
1346,Administration and Vendor Representative,administration vendor representative requirements : minimum years experience administration customer support sales close fluent english upper intermediate able work kiev co working space office abilit,,English,,Sales; Customer Support,,Sales; Customer Support; English,3
1347,Administration Manager for an office,administration manager office purpose position : administration manager full responsibility coordinating finance tax legal building management security equipment related matters ukrainian office admin,,,,Finance; Tax; Legal; Building Management,,Finance; Tax; Legal; Building Management,4
1348,Administration Officer: Accounting,administration officer : accounting would like work company truly passionate people growth development core culture everything ensure everything need improve run modern product team kyiv focusing push,,,,Accounting,,Accounting,1
1349,Administrative and marketing manager,administrative marketing manager ivy tech international company works high growth innovative product companies started ukraine branching european countries clients us europe australia developers place,,,,Marketing,,Marketing,1
1350,Administrative and marketing manager,administrative marketing manager looking seeking versatile motivated administrative marketing assistant join team role involve providing essential administrative support also contributing marketing ef,,,,marketing,,marketing,1
1351,Administrative asisstant intern,administrative asisstant intern project description : role working projects providing management necessary data business development means timely reporting data analysis support process administration,data analysis,,,project management; business development,,project management; data analysis; business development,3
1352,Administrative Assist,administrative assist project description global administrative executive support services work top management administrative executive assistants responsibilities administrative assistant provides su,,,,executive support,,executive support,1
1353,Administrative Assistant,administrative assistant project description : project : gaes framework pa support mgmt team : gaes team technologies used : ms office opportunities : international team skills development responsibil,,,MS Office,,,MS Office,1
1354,Administrative Assistant for client's team,administrative assistant client 's team team : rapidly expanding group kyiv developing supporting range client projects requirements project : currently looking expand kyiv team administrative assista,,,,,,,0
1355,Administrative Coordinator,administrative coordinator availability work pm pst monday friday client supplement manufacturing company seeking motivated detail oriented individuals join team rapidly growing player dietary supplem,,,,administrative coordination,,administrative coordination,1
1356,Administrative Coordinator,administrative coordinator ideal candidate goal oriented experience working big corporate companies exceptional organizational skills draw energy part team would like meet responsibilities europe offi,,organizational skills,,,,organizational skills,1
1357,Administrative Coordinator - Hourly,administrative coordinator hourly looking qualified administrative coordinator join team help us resolve everyday issues services performed : administrative support contractor provide varied administr,,,,administrative services,,administrative services,1
1358,Administrative Director,administrative director key responsibilities : administrative management : oversee daily operations assuring smooth efficient running kharkiv office lead administrative team act liaison employees uppe,,organizational skills,,administrative management,,administrative management; organizational skills,2
1359,Administrative Director,administrative director requirements : higher education desirable experience similar position advantage organizational skills diligence responsibility communication skills responsibility result experi,,organizational skills,,,higher education,organizational skills; higher education,2
1360,Administrative Director / Head of Administration,administrative director head administration need keep things legal cost effective efficient convenient safe : offices remote work format plans extend europe team office managers accountants system adm,,,,administration,,administration,1
1361,"Administrative Director (Poland, Krakow)",administrative director poland krakow great software happen takes great people happens forte nearly years matching top engineering talent preeminent innovative brands look people curious resourceful d,,,,engineering,,engineering,1
1362,Administrative Logistics Associate,administrative logistics associate room group uniting force room studio dragons lake massive black international leaders providing worldwide game development art production services room group oversee,,,,logistics,,logistics,1
1363,Administrative Management,administrative management come : years experience administrative assistant management advanced english level desire ability work usa clients based time zones working schedule : mon fri pm pm excellent,,,,english; administrative management,,english; administrative management,2
1364,Administrative manager,administrative manager dream candidate used handling complex extraordinary assignments experience working founders directly flexible systematic reside kyiv enjoy multitasking thrive fast paced environ,,,,management,,management,1
1365,Administrative Manager,administrative manager key requirements : months relative experience similar position organizing events offline projects project management skills : budgeting spendings reporting time management execu,,project management,,,,project management,1
1366,Administrative Manager,administrative manager main activities : supplier management : manage day day administrative relations suppliers contractors manage contract preparation review invoices payment orders office managemen,,,,supplier management; contract management,,supplier management; contract management,2
1367,Administrative Manager,administrative manager requirements : higher education previous office management administrative assistant experience must attention detail problem solving skills written verbal communication skills o,,problem solving,,office management,,office management; problem solving,2
1368,Administrative Manager,administrative manager requirements preferably year experience similar position higher education excellent communication organizational interpersonal skills ability build develop supportive working re,,communication; organizational; interpersonal,,,,communication; organizational; interpersonal,3
1369,Administrative Manager,administrative manager requirements : proven office management administrative experience least years past experience english speaking stakeholders ideally software companies start ups ability build de,,,,office management,,office management,1
1370,Administrative Manager,administrative manager responsibilities : office management manage oversee office services functions including office equipment computer equipment supplies vendors control organize work cleaner paymen,computer equipment management,,,office management; office equipment management,,office management; office equipment management; computer equipment management,3
1371,Administrative Manager,administrative manager responsibilities : provide support operations team : create update documents templates forms provide support recruiting team : publish vacancies create forms collect information,template creation,,,document management; recruiting support,,document management; template creation; recruiting support,3
1372,Administrative Manager,administrative manager walkme looking talented administrative operations manager join kyiv team full time basis walkme looking talented administrative operations manager join kyiv team full time basis,,,,administrative operations management,,administrative operations management,1
1373,Administrative Manager,administrative manager looking responsible office administrative manager warsaw responsibilities : office documents calendar appointments management manage emails letters packages phone calls forms co,,,calendar management,office documents management; appointments management,,office documents management; calendar management; appointments management,3
1374,Administrative Manager,administrative manager looking ambitious administrative manager would join ops team work across business support aspects facilities service delivery administrative manager perform duties create enviro,,,,facilities management; service delivery,,facilities management; service delivery,2
1375,Administrative Manager,administrative manager expect : years experience similar position higher education excellent communication organizational skills strong interpersonal skills ability work people across different locati,,communication; organizational; interpersonal,,,,communication; organizational; interpersonal,3
1376,Administrative Manager,administrative manager working awesomic get actual fast growing startup experience able make decisions successful talent journey building product policies processes yo yo yo : collision : working awes,,,,,,,0
1377,Administrative Manager,administrative manager worknest israeli company offices kharkiv kyiv tel aviv ukrainian market since connection personnel changes position administrative manager opened partner verbit ai well funded i,,,,,,,0
1378,Administrative Manager Associate,administrative manager associate client building leapfrog proptech platform driven artificial intelligence ai integrating homeowners service providers realtors property inspectors fundamentally change,artificial intelligence,,,proptech,,artificial intelligence; proptech,2
1379,Administrative Manager (Chisinau),administrative manager chisinau job title : administration manager company overview : company specializes consulting wide range issues depending needs clients currently expanding team therefore search,,,,consulting,,consulting,1
1380,Administrative Manager (Cyprus),administrative manager cyprus us : dzing fca regulated e money neobanking institution established goal deliver banking services customer base retail institutions white label basis heart dzing technolo,,,,,FCA,FCA,1
1381,Administrative manager desirably with marketing background and/or education,administrative manager desirably marketing background education searching smm manager share mission social media media channels world help grow personal brand top managers someone talk audience social,,,,SMM; social media,,SMM; social media,2
1382,Administrative Manager ( intern),administrative manager intern looking enthusiastic administrative assistant team responsibilities : manage office space daily space order atmosphere manage office expenses purchases expenses reports p,,,,,,,0
1383,"Administrative Manager, Junior IT Recruiter",administrative manager junior recruiter responsibilities create maintain job descriptions monitor job postings open positions onboard offboard new employees constantly improve processes take responsib,,,,,,,0
1384,"Administrative manager,  Manager of Operations",administrative manager manager operations role oversees functions including domain management email setup server maintenance google workspace configuration requires strong analytical thinking adaptabi,,,Google Workspace,,,Google Workspace,1
1385,Administrative Manager to Warsaw,administrative manager warsaw hello boosta international company portfolio successful products performance marketing projects investment fund burner boosta founded since number boosters grown looking ,,,,marketing; investment; project management,,marketing; investment; project management,3
1386,Administrative Manager ( Warsaw ),administrative manager warsaw pmi service company engaged development implementation expansion strategy parimatch brand markets africa asia latin america company provides tech marketing communications,,,,project implementation; strategy development,PMI,project implementation; strategy development; PMI,3
1387,Administrative (office) manager,administrative office manager responsibilities : maintain happy working lively environment maintain relationship different office supplies upkeep providers request works required office liaise group o,,relationship management,,office management,,office management; relationship management,2
1388,"Administrative PMO / Process Coordinator, (Poland)",administrative pmo process coordinator poland location krakow project description join development center krakow become member open minded progressive professional team role working projects one world,,,,project coordination; process management,,project coordination; process management,2
1389,Administrative Project manager,administrative project manager role description : fluent english communications must budget management setting governance standards kpis guidelines development maintenance project plans preparation pr,KPIS,communications; english,,budget management; governance; project management,,budget management; governance; communications; english; project management; KPIS,6
1390,Administrative Resource Coordinator,administrative resource coordinator requirements : years experience project management human resources management similar knowledge sdlc excellent interpersonal communication skills strong organizatio,sdlc,,,project management; human resources management,,project management; human resources management; sdlc,3
1391,Administrative Services Manager,administrative services manager main tasks responsibilities : plan manage long short term office maintenance refurbishment renovations needs allocate manage facility space maximum efficiency coordinat,,,,project management,,project management,1
1392,Administrative Specialist,administrative specialist administrative specialist executive assistant plays critical role transcenda successful role well organized great time management skills creative problem solver able act with,,time management,,,,time management,1
1393,Administrative Specialist,administrative specialist administrative specialist responsible ensuring company right materials services required quality delivered time involved meetings vendors internal clients evaluating supplier,,,,,,,0
1394,Administrative Specialist,administrative specialist looking talented people smart bright like work people thrive fast paced collaborative workplace like challenged accomplish lot together responsibilities : greet welcome guest,,,,,,,0
1395,Administrative Specialist (no experience needed),administrative specialist experience needed seeking remote associate administrative specialist strong command english language prior experience industry chosen candidate receive training join team exc,,,,English language,,English language,1
1396,Administrative Support,administrative support responsibilities : skill advisory service coordination : incoming requests pre screening regular status check pending progress requests post action negative feedbacks skill advi,,,,advisory service coordination,,advisory service coordination,1
1397,Administrative Support Specialist,administrative support specialist work shifts shifts month half night shifts shift lasts hours schedule coordinated team support month ahead required skills experience : spoken english lower upper int,,team support,,,,team support,1
1398,Administrative Support Specialist,administrative support specialist looking proactive detail oriented administrative assistant join team administrative assistant play crucial role supporting smooth efficient operation office organizat,,,,administrative assistance,,administrative assistance,1
1399,Administrative Team Lead,administrative team lead take chance join boosta international company ukrainian roots employees countries worldwide looking administrative team lead hope see interview let us ensure good match first ,,team lead,,,,team lead,1
1400,Administrative Warehouse Associate,administrative warehouse associate looking new talent join administrative department fill assistant position specialist ready help distributing corporate equipment maintaining warehouse room group uni,,,,,,,0
1401,Administrative Worker,administrative worker __about role__ cold start team seeking dedicated self driven executive assistant strong communication skills support leadership team role requires outstanding planning time manag,,communication,,,,communication,1
1402,Administrator,administrator depdiko algorithmic trading company systems engineering statistics computer science finance lay foundation success fully remote team outstanding engineers mathematicians built stable pro,systems engineering; statistics; computer science,,,algorithmic trading; finance,,algorithmic trading; systems engineering; statistics; computer science; finance,5
1403,Administrator,administrator project description : internal mobility practice building employees ' career path providing professional development process employee 's transfer current position another one vertically ,,,,,,,0
1404,Administrator,administrator responsibilities : assistant responsible : providing general support sales department execution personal tasks management team working native english speakers daily basis preparing docum,,team management,,sales,,sales; team management,2
1405,Administrator/Business Manager for an International E-commerce Website,administrator business manager international e commerce website brand : imbesharam com learn us want know besharam : take look work location : work home hours : f : pm ua time sat : pm total hours wee,,,,e-commerce,,e-commerce,1
1406,Administrator - Coordination of Courier Deliveries,administrator coordination courier deliveries job title : courier delivery coordinator remote days week start company overview : courier delivery company fast growing business london strong reputation,,coordination,,,,coordination,1
1407,Administrator/DevOps engineer for Atlassian solutions,administrator devops engineer atlassian solutions requirements atlassian domain knowledge experience administration support atlassian solutions : jira confluence bamboo bitbucket crowd general technic,Atlassian,,Jira,,,Jira; Atlassian,2
1408,Administrator for governance events,administrator governance events project description looking new members reporting governance office excellent organizational skills proven experience coordinate top level corporate governance meetings,,project management,,governance,,governance; project management,2
1409,Administrator for Governance events,administrator governance events job purpose organize coordinate preparation conducting executive management cross departments collaboration run regular governance processes collecting data storing out,,event organization,,governance,,event organization; governance,2
1410,Administrator for Operations Department,administrator operations department fluent english good self management stay task detail oriented efficient managing operations manager 's calendar events priorities deadlines tech savvy highly adapta,,,,English,,English,1
1411,Administrator (Jira ),administrator jira required : experience groovy python scripting programming languages network administration experience experience jira confluence administration experience digitalocean vmware aws wo,Groovy; Python; Network administration,,Jira; Confluence,,,Jira; Groovy; Python; Confluence; Network administration,5
1412,Administrator Manager in Office,administrator manager office responsibilities : execution orders head perform administrative tasks support office keep office tidy clean coordinate indoor activities like holiday party summer picnic e,,,,Office management,,Office management,1
1413,Administrator Manager in Office,administrator manager office year experience administrative management role office manager positive honest person attentive details excellent communication negotiation skills completed higher educatio,,,,Administrative management,,Administrative management,1
1414,Administrator/Moderator Crm,administrator moderator crm smart property investment first ukrainian licensed real estate agency dubai years experience work top developers help acquire best real estate personal use investment purpo,,,CRM,Real estate,,CRM; Real estate,2
1415,Administrator (office) Manager,administrator office manager software focused creating high quality immersive solutions various business verticals across mobile vr ar interactive platforms future pushing new interactive entertainmen,VR; AR,,,,,VR; AR,2
1416,Administrator/Personal Assistant,administrator personal assistant requirements : proficient pc user excellent excel word power point google docs english upper intermediate good organisational skills able work fast paced environment p,,,Excel; Word; Power Point; Google Docs,,,Excel; Word; Power Point; Google Docs,4
1417,Administrator security,administrator security skills : nowledge linux unix system knowledge git version control systems vpn understanding principles work offer : great opportunity take part creating new unique product platf,Linux; Unix; Git; VPN,,,,,Linux; Unix; Git; VPN,4
1418,Administrator ServiceNow,administrator servicenow requirements : servicenow system administrator experience excellent communication skills written verbal high level english skills written verbal plus : hands service hr legal ,,,ServiceNow,,,ServiceNow,1
1419,Administrator (Yerevan),administrator yerevan duties : working jira system review serviceability malfunctions work areas offices meeting rooms kitchens restrooms warehouses utility rooms lighting heating ventilation purchase,,,Jira,,,Jira,1
1420,Admin Manager for PMI,admin manager pmi invite fired : deal administrative questions office support budgeting bookkeeping procedures review approve supply requisitions keep stock office supplies place orders necessary assi,,,,budgeting; bookkeeping,,budgeting; bookkeeping,2
1421,Admin Specialist,admin specialist altamira ai digital transformation company provides consulting services including innovative strategies bespoke technology solutions customers interested business transformation altam,,,,digital transformation,,digital transformation,1
1422,Admin System avec knowledge of WSO2 API Management,admin system avec knowledge wso api management founded api swiss services company specializing consulting services offers clients large number quality services management consulting information system,API management; WSO API,,,,,API management; WSO API,2
1423,Ad Monetization Manager,ad monetization manager requirements : years experience ad monetization manager big advantage work experience analytics structural approach data strong quantitative qualitative analysis skills advance,analytics,,,ad monetization,,ad monetization; analytics,2
1424,Ad Monetization Manager,ad monetization manager skills qualifications required : passionate mobile gaming apps gamedev industry practical knowledge ads monetization ads management optimizations mediation solutions experience,,,,ads monetization; mobile gaming,,ads monetization; mobile gaming,2
1425,Ad Monetization Manager,ad monetization manager : : video_game : responsible waterfall management : video_game : conduct full cycle negotiations partners ad hoc matters bugs discrepancies creative quality sdk updates long te,waterfall management,negotiation,,,,waterfall management; negotiation,2
1426,Ad Monetization Manager,ad monetization manager years experience ad monetization manager big advantage work experience analytics structural approach data strong quantitative qualitative analysis skills advanced working knowl,analytics,,,,,analytics,1
1427,Adobe AEM Developer,adobe aem developer role requires participate aspects software development lifecycle includes technical design implementation documentation testing deployment support application requirements : years ,software development,,Adobe AEM,,,Adobe AEM; software development,2
1428,Adobe After Effects Plugin Developer,adobe effects plugin developer company : founded p product international us based software development company proficient web mobile desktop development support well extensive expertise digital signal,web development; mobile development; desktop development,,Adobe Effects,,,Adobe Effects; web development; mobile development; desktop development,4
1429,Adobe After Effects Plugin Developer,adobe effects plugin developer looking years development experience extendscript html css javascript nodejs must experience writing adobe effects plugins using adobe common extensibility platform cep ,ExtendScript; HTML; CSS; JavaScript; NodeJS,,Adobe Effects,,,ExtendScript; HTML; CSS; JavaScript; NodeJS; Adobe Effects,6
1430,"Adobe Analytics Developer, Financial Systems",adobe analytics developer financial systems vacancy one largest professional certification associations finance industry globally uses dataart primary technology partner highly prestigious recognizabl,,,Adobe Analytics,Financial systems,,Adobe Analytics; Financial systems,2
1431,Adobe analytics expert,adobe analytics expert responsibilities consultant f : contact person internal adobe analytics team strategic development adobe analytics responsibilities digital analyst f : implementation execution ,,,Adobe Analytics,,,Adobe Analytics,1
1432,Adobe Analytics Lead,adobe analytics lead american company develops software businesses help manage networks systems information technology infrastructure headquartered austin texas sales product development offices numbe,,,Adobe Analytics,,,Adobe Analytics,1
1433,Adobe Campaign Manager,adobe campaign manager requirements adobe analytics adobe classic jira would plus automotive industry experience responsibility review briefing project planning update campaign ticket according projec,,,Adobe Analytics; Adobe Classic; Jira,Automotive industry,,Adobe Analytics; Adobe Classic; Jira; Automotive industry,4
1434,Adobe Commerce (Magento) Front-End Developer,adobe commerce magento front end developer numerous new ongoing projects ranging enterprise content solutions mobile apps data services experience driven enterprise e commerce user experience marketin,Front end development,,Adobe Commerce; Magento,,,Adobe Commerce; Magento; Front end development,3
1435,"Adobe Commerce (Magento) PWA Frontend Developer (Middle, Senior)",adobe commerce magento pwa frontend developer middle senior looking adobe commerce pwa frontend developer join growing global team numerous new ongoing projects ranging enterprise content solutions mo,Adobe Commerce; Magento; PWA; frontend development,,,,,Adobe Commerce; Magento; PWA; frontend development,4
1436,Adobe Developer,adobe developer seeking talented motivated adobe developer join dynamic team adobe developer play pivotal role developing enhancing suite software applications solutions leverage adobe technologies pr,Adobe,,,,,Adobe,1
1437,Adobe Experience Manager (AEM) Back-end Developer,adobe experience manager aem back end developer elogic commerce looking adobe experience manager aem back end developer join team professionals required skills : years developing deploying aem project,Adobe Experience Manager; AEM,,,elogic commerce,,Adobe Experience Manager; AEM; elogic commerce,3
1438,Adobe Experience Manager (AEM) developer,adobe experience manager aem developer required skills : familiarity latest technologies concepts aem good understanding oop ood good knowledge latest ui development frameworks related technologies ja,AEM; OOP; OOD,,,,,AEM; OOP; OOD,3
1439,Adobe Experience Manager (AEM) Developer,adobe experience manager aem developer us : tmg technology e commerce focused business take pride delivering great products creating partnerships clients place technologists drive work flow tight knit,Adobe Experience Manager; AEM,,,e-commerce,,Adobe Experience Manager; AEM; e-commerce,3
1440,Adobe Experience Manager Developer,adobe experience manager developer : design develop deploy support digital consumer experiences based aem components integrations applications major international company fortune list design build mai,Adobe Experience Manager; AEM,,,,,Adobe Experience Manager; AEM,2
1441,Adobe Experience Manager / Solution Architect,adobe experience manager solution architect project description : client leading global financial market data provider runs several change programs deliver high quality software connects financial mar,Adobe Experience Manager,,,,,Adobe Experience Manager,1
1442,Adobe Expert,adobe expert talentstoday looking adobe specialist adobe launch adobe analytics expertise outstaff project start date : sept duration : months possuble extension capacity : timezone : us pacific dayli,Adobe Launch; Adobe Analytics,,,,,Adobe Launch; Adobe Analytics,2
1443,Adobe InDesign Automation Engineer,adobe indesign automation engineer client develops tailor made software products components integration existing systems individually specifically specific sectors innovative intelligent software solu,Automation,,Adobe InDesign,,,Adobe InDesign; Automation,2
1444,"Adobe Multi-Solution Architect,  Global Media Commerce Company",adobe multi solution architect global media commerce company vacancy client global media company specializing travel unique travel deals valued million members world days initiating unprecedented tran,Adobe,,,,,Adobe,1
1445,Adobe Target Developer,adobe target developer responsibilities : translate build design requirements new existing client webpages web digital applications served adobe target develop front end back end architecture responsi,web development,,Adobe Target,,,Adobe Target; web development,2
1446,Ad operation/Account Manager,ad operation account manager responsibilities : working video rtb servers daily communication team supply demand partners creating implementing tags eps preparing reports requirements : strong analyti,RTB servers; tag implementation,,,,,RTB servers; tag implementation,2
